Type,Code,line,replicate_number,Photo_ID,Mean_Hue_(Circle_1),Std_Dev_Hue_(Circle_1),Mean_Hue_(Circle_2),Std_Dev_Hue_(Circle_2),Mean_Hue_(Circle_3),Std_Dev_Hue_(Circle_3),Mean_Hue_(Circle_4),Std_Dev_Hue_(Circle_4),Mean_Hue_(Circle_5),Std_Dev_Hue_(Circle_5),mean_hue_all_circles,Stdv_hue,Red,Yellow,Peloric
Domesticated,D_BM,L1,2,DSCN0846.JPG,175.45,1.18,33.01,66.3,176.15,0.59,176.01,1.19,176.58,0.87,147.44,57.21614038,5,1,0
Domesticated,D_BM,L1,3,DSCN0088.JPG,158.35,0.49,82.63,76.97,163.19,7.64,158.43,0.57,157.52,0.7,144.024,30.76188525,3.5,1,0
Domesticated,D_BM,L1,4,DSCN0253.JPG,11.39,28.75,24.57,1.95,16.28,4.53,12.38,1.23,21.21,1.36,17.166,5.064111373,3,2.4,0
Domesticated,D_BM,L1,7,DSCN0178.JPG,162.25,0.62,127.38,64.82,165.23,2.4,162.31,0.92,160.89,0.85,155.612,14.18686209,4,0.5,0
Domesticated,D_BM,L1,10,DSCN0682.JPG,14.72,1.09,22.32,1.58,20.4,2.49,16.99,1.38,20.58,0.94,19.002,2.750900943,2.5,3,0
Domesticated,D_MT,L2,1,DSCN0693.JPG,130.31,72.71,24.08,3.87,3.63,8.45,57.35,80.54,18.27,42.11,46.728,45.3409415,4,2.5,0
Domesticated,D_MT,L2,3,DSCN0324.JPG,151.89,56.26,24.79,34.84,112.72,83.48,174.84,0.96,169.25,21.24,126.698,55.39600469,4,2.5,0
Domesticated,D_MT,L2,6,DSCN0510.JPG,145.92,61.92,22.8,36.83,156.97,52.04,174.84,1.25,24.82,53.92,105.07,66.99044827,4,2.5,0
Domesticated,D_MT,L2,9,DSCN0766.JPG,90.22,79.35,23.33,2.25,11.34,7.71,57.98,82.63,NA,NA,45.7175,30.87820459,4,2.5,0
Domesticated,D_MT,L2,10,DSCN0870.JPG,87.66,78.26,25.76,0.8,17.7,8.35,3.87,1.65,43.47,71.12,35.692,28.96952426,4,2.5,0
Domesticated,D_D,L3,4,DSCN0444.JPG,172.9,1.35,43.35,55.78,166.15,32.46,173.19,0.54,171.31,0.79,145.38,51.07763738,5,1,0
Domesticated,D_D,L3,5,DSCN0777.JPG,173.07,0.82,171.54,1.22,172.61,1.01,172.1,8.86,172.06,0.75,172.276,0.521789229,5,1,0
Domesticated,D_D,L3,6,DSCN0476.JPG,171.34,0.73,95.82,79.69,172.82,1.11,172.95,0.54,172.89,0.44,157.164,30.67787646,5,1,0
Domesticated,D_D,L3,7,DSCN0192.JPG,172.83,0.6,172.63,1.12,172.77,0.47,172.98,0.81,172.67,0.52,172.776,0.124193398,5,1,0
Domesticated,D_D,L3,8,DSCN0316.JPG,172.86,0.64,108.82,76.55,171.62,2.14,173.67,0.53,173.41,0.5,160.076,25.63772424,4.5,0.5,0
Domesticated,D_HM,L4,2,DSCN0409.JPG,174.65,2.53,50.92,70.47,135.22,72,174.72,0.7,175.62,1.63,142.226,48.18340943,4.5,1,0
Domesticated,D_HM,L4,3,DSCN0652.JPG,62.85,79.58,21.39,4.09,19.18,29.49,7.39,1.79,11.37,2.5,24.436,19.86869659,2.5,2.5,0
Domesticated,D_HM,L4,7,DSCN0858.JPG,17.82,1.06,19.31,1.73,12.9,2.83,19.7,1.17,21.12,1.21,18.17,2.836843316,1.5,3,0
Domesticated,D_HM,L4,8,DSCN0567.JPG,159.86,1.53,112.34,78.42,170,1.13,163.06,2.15,159.38,2.12,152.928,20.64547059,4,0.5,0
Domesticated,D_HM,L4,10,DSCN0676.JPG,162.78,0.67,70.92,75.98,169.76,1.28,160.69,1.48,162.79,1.19,145.388,37.36024593,4,1,0
Sister,S_AMT,L5,2,DSCN0810.JPG,157.28,1.37,143.4,48.82,156.96,0.84,156.05,0.5,156.09,0.83,153.956,5.299828676,3,0.5,0
Sister,S_AMT,L5,5,DSCN0521.JPG,158.75,0.82,109.91,73.48,157.95,0.39,156.69,0.66,154.86,1.07,147.632,18.90667438,3,0.5,0
Sister,S_AMT,L5,6,DSCN0643.JPG,156.97,0.74,97.25,72.19,156.69,0.58,156.54,0.57,154.63,0.78,144.416,23.59746902,3,0.5,0
Sister,S_AMT,L5,7,DSCN0341.JPG,156.85,0.47,91,79.12,157.89,0.91,156.71,0.58,156.56,0.59,143.802,26.40513692,3,0.5,0
